This is a generic American Italian restaurant.	1	ed00q6i
We also tried the pimento cheese burger - also bland.	1	eezlygj
I went here every day of my week-long vacation.	1	ed7ypvh
Why would you go here instead of a larger establishment...great food and old school full service!	11,13	ed0bdzj
This one is not nearly as good as the one on Berkeley Street.	2	edvnz26
My favorite sandwich shop in Boulder.	0,3	ee3b6wu
And maybe the deep friend pickles.	1	ef4qmod
They have several very good beers on tap (try the bitter).	0	ed8wbdn
How about the initial awe as you fog up your car windows driving past the tri-level driving range.	1	eczgv1o
I've been here a few times for lunch and the service is always great, as is the food!	5,0	eel6g5h
Bit on the pricey side but you're off of newbury st.	1	edex4ki
Ramen noodles= just the right texture, not to soft not to firm.	0	ef83m1s
Like all the other reviews, the food was great and the service could be improved.	0	efh7xnk
Oddly enough my favorite item on the menu is the burger.	3,9	efdqav7
I had a great late night dinner at Silvertone a few weeks ago.	1	edivtm3
Since everything is made fresh, be prepared to wait for your order, but you won't be disappointed.	0	eeqd04y
As silly as this place is and as non Italian as it is I have a local Oregonian soft spot in my heart for this place.	0	edk0z9k
This place is a lot like Chipotle but local and seemingly more original without the chain influence.	1	eeb9aft
Waitstaff was friendly and on point.	5	eczq8zg
They serve Vietnamese pho there too.)	1	efdlhs1
All brands of sun-dried tomatoes are not that sour, so those facts made it harder to figure out.	2	ee4tgim
I was glad we came at 7:30pm because this little place closes at 8:30pm every night.	4	ee7it59
Fortunately for me, Japa Dog offers	0	ed4nz06
The service is good and the character of the place is great!	0	ee18uaj
Upon entering the restaurant we were quickly greeted by a friendly smile from the hostess.	5	edkh6qo
The vibe they created was really spot on and the tunes were great, but those were the only positives left in my opinion.	4	edafy84
This place is in better than anything around for casual comfort food.	0	ee8mzwa
This place has the best crab cakes in the world! !	0	ef462jc
I usually like Boloco, but not this time.	2	ee62fgk
I've been wanting to go to Condados for quite awhile now and finally made it here with my other half.	8	eebcbcp
The service was friendly and prompt.	0,5	ed7wf2c
Love the variety of restaurants in Woburn.	3	edmcxu7
Best spot to have dinner on the north shore.	0	ee7ujla
Like, I want to believe that yesterday must have been a staged prank.	8	edtqqyi
We went in, holding or breaths and hoping for the best.	8	efeu6uo
The service was quick and the food was delicious.	0,5	ef81n89
Are you telling me that I can drink Snickers coffee with a hint of milk??	13	ednhqdr
The food was good when it was actually there.	0	ed0i62x
The price point is very fair, especially the portion.	0	ed6mn9k
I've been here a few times a few years ago.	1	eecj1hh
The waitress squashed the one by my husband's plate and apologized.	7	eexgn84
The ambiance, service, food, and drinks were all top notch.	0	ed2wzm6
Can't go wrong with this price!	0	ef7hdbf
Charred perfectly and not too fatty.	0	efanc6t
We had a great dinner here, although I must say it was overpriced.	4	eddo15s
So this may not be a helpful review lol.	1	edrbhky
My wife and I visited Steel Toad for the very first time earlier today.	1	ednnkuc
Expensive day-be prepared.	2	edly6hm
We had to wait over an hour to get our table, but it was actually worth it.	1	efdj3ai
My parents brought me here as a kid and I still go all the time.	1	eebp801
Guam at their table is very good.	0	eer0jny
Lunch on a Monday.	1	eek294p
To boot the wine selection is	1	eex7fm9
Compared to chinese shaved ice, the dessert here is less coarse and more milky.	1	eeb757w
They are cheap, have great portion sizes,  and the food is delicious.	0	edo2jop
A small group went for breakfast on a Saturday.	1	edq7cts
Delicious food (pork cheeks, delicious!), wine and service - a cooking hat trick!	6	eez8y80
I picked a special that was not in the menu.	1	eezr0f2
The menu is eclectic and creative - almost too much (half I've never heard of it).	0	eejcgvu
I keep going back for the Egg tartini and salted caramel tart.	1	ed7nnui
It's a very convenient location, but I'm hesitant to go here because I never know what I'm going to get.	11	eduyz3m
I actually enjoyed their sangria, probably more than the food.	4	eeq6eor
They come around with refills pretty often, so it truly does seem bottomless.	1	edc6qjp
I had to come into Needham for a work seminar and happen to get into the town early so I drove around and found this bagel shop..	1	ef14a5b
This is very good Chinese food.	0	eeezvpp
Most people seem to love guacamole...it's good but not that different from any freshly made guacamole.	3	edld84l
I have lived in Austin for over 25 years and although I have heard lots of great things about it.	1	edk90ck
I've been a fan for many years.	0	ed6srlg
Finally made it here, and found it to be nothing to write home about.	1	edjhcfz
RHT fills an important, hip, boozy spot for Harvard Square and Harvard students -- and, boy, are they everywhere.	1	eed7igj
Best eggplant meatballs I've ever had.	3	edhjzs4
The food here is good (not great) but everything else is great!	0	eepirny
They had live acoustics in the corner of the bar on Wednesday nights and he was great.	0	edcymd0
Owner suggestion: perhaps little baby signs with single word descriptions of the pies available by the slice?	13	eemw6fm
My husband and I went for dinner at 4pm and the service was great.	0	ef9vgnx
The service is great and they have a great selection of beers.	0	eellryt
Take a few minutes to walk upstairs past the lions to see Joan d' Arc collection.	1	ed8g95h
love the fireplace and general atmosphere, but honestly i would probably never go in if my friends didn't work there (oh the college budget).	3,4	ecztuhs
The sauces are great, the beer selection is good, and the service is friendly.	5,0	ed4ji7m
Been coming to this location since I was in high school.	1	ed4qloq
Basically, it is a personal sized pizza, thin sliced.	1	edh8gc6
over. to the international terminal after perusing the One Flew South menu and my vegetarian friend being less than thrilled.	1	edqmmr8
This is the place for goooood Southern cooking.	1	edafxhi
Food here is consistently tasty.	0	efeejq2
A delightfully quirky decor, spartan Scandinavian whitewashed wood, but cozy somehow, too, like it might be a treehouse or cabin in the woods.	0	eddpp1t
Came here for brunch on a lovely Saturday morning.	1	eebztt2
This is a great restaurant.	0	eeaae3c
I'm not from the area and stopped in for brunch with my boyfriend.	1	edq63yi
Great atmosphere, free tasting before you order - don't abuse their generosity - they are very friendly.	0,5	ef4mcnv
It's about time I give Don Mario's a review!	1	eer6cua
I've noticed that the quality is a bit inconsistent as well.	1	edckr7q
tacos are only $1.50...needless to say I bought 10.	1	edzprws
My husband and I went in for breakfast one Saturday.	1	ednh28o
I would chose this place over Marylou's or Dunkies ANY DAY!!!	6	ef71l7o
didn't feel like eating after few bites.	2	efch84n
You can get an entree for around $10.	1	efae8sy
Great fast casual place - staying at a nearby hotel and looking for somewhere to eat and work.	0	edpcbde
We brushed it off however and ordered a pomegranate Moscow mule and the three orange mimosa.	1	ees00ae
I don't think you can go wrong on this menu...	1	efcvc5p
Warm, friendly and attentive service.	5	eexo7w2
I ordered the quarter chicken with salad, as they weren't able to accommodate a special request (a chicken breast with steamed vegetables).	1	edj5kw4
Great place to enjoy good food and great music with friends.	0	eexk7b0
The large is MASSIVE!	1	eeapczm
that's the way to do it.	1	edj30sf
The textures of the gelato and sorbettos were very silky smooth.	1	efhbbj9
Mid range prices, ever charming service and good wifi mean I'll never complain about coming here for a meeting or a catch up.	0,4	edbw0z2
I have lived by the water all my life and ate some of the best seafood in the area.	0	edrqtz1
Went here on a whim while visiting Austin and everything was incredibly tasty!	0	edfsjkw
There's a reason lobster rolls are rated the best in the city!	0	eeskhio
